original_review_id,source,country,rating,review,discovery_score,rating_bonus,priority_score,categories,matched_terms
5794,Apple App Store,AU,3,Wish it would give me more range in music not just repeat the same song over and over again. Discover weekly and release radar seems to be so repetitive and starting to get boring. Even the smart shuffle just cycles the same songs,69,2,71,"discovery,repetition,playlist","boring,discover,discover weekly,over and over,release radar,repeat,repetitive,same song,same songs,shuffle,smart shuffle"
3153,Google Play,IN,5,"Spotify is the best for discovering new music. The Daily Mix, Discover Weekly, and Release Radar always put me on to new K-pop, indie, and chill tracks I end up loving.",38,0,38,"discovery,playlist,artist","daily mix,discover,discover weekly,indie,new music,release radar"
5433,Apple App Store,US,5,"Seriously if someone told me, I could only use one app for the rest of my life this would be it. Their Radio suggestions are incredible. The Discover weekly playlist that has custom curated for you. Every week is beautiful and the release radar playlist is major for finding new sauce for mix. Feels like every time I wish there were a certain feature, they read my mind, figure it out, and add it. (for example adding a song to multiple playlists at once) thank you for being the greatest and most essential app of all time. Take my money forever. Dang.",29,0,29,"discovery,playlist","discover,discover weekly,playlist,playlists,radio,release radar"
605,Google Play,IN,2,"It's gotten worse with time Podcasts- autoplay used to go through my followed list and play next un-listened to, no replays already listened to content Needs a ""remove from suggested"" option Plays the same songs over and over in most of my Spotify created playlists Would like the option to listen to a variety of genres in a Spotify made playlist I pay for a family plan but only one person can listen to audiobooks",26,3,29,"discovery,repetition,playlist","genres,over and over,playlist,playlists,same songs,variety"
765,Google Play,IN,4,"I listen to everything—from high-energy Phonk and hype bangers to chill study tracks and soulful classics. Spotify’s algorithm handles my diverse music taste perfectly. The personalized mixes and ""Recommended Stations"" always introduce me to great new music based on what I’m currently vibing with, and the UI makes it easy to jump between totally different moods. However, the amount of ads on the free tier is getting out of hand. It completely breaks the vibe when you go from a smooth, emotional.",27,1,28,"discovery,recommendation,personalization","algorithm,diverse,music taste,new music,personalized,recommended,taste"
6489,Apple App Store,CA,3,"While I’m a long-term fan and heavy user of the platform, persistent dissatisfaction has accompanied the experience on 3 main points.   Firstly the interface continues in a dated idea of how modern UI can be.  Second, the home page and the suggestions of what I might like have always offered me so much of what I have never and won’t ever listen to.  Lastly that singular option of a ridiculous voice and manner of the ai DJ.  It’s absurd and jarring.  
That said, other aspects of the algorithm are great.  Discover Weekly has given me so much over the years, so for now it remains the home of my countless playlists.",26,2,28,"discovery,recommendation,playlist","ai dj,algorithm,discover,discover weekly,playlists"
5211,Apple App Store,US,1,I added new songs list to my playlist and the shuffle keeps repeating the same old songs over and over,23,4,27,"discovery,repetition,playlist","new songs,over and over,playlist,repeating,shuffle"
510,Google Play,IN,5,"Spotify makes discovering and enjoying music effortless. The recommendations are spot-on, playlists like Discover Weekly always introduce something new, and offline downloads are perfect for travel. Podcasts add even more variety. Smooth interface, great sound quality, and it fits seamlessly into daily life. Genuinely hard to imagine music without it.",25,0,25,"discovery,recommendation,playlist","discover,discover weekly,playlists,recommendations,variety"
6517,Apple App Store,CA,4,Everything is great except the AI DJ. Its super annoying always plays the same songs instead of at least playing some other songs from the same artist. You could do much better!,24,1,25,"repetition,playlist,artist","ai dj,artist,same artist,same songs"
4645,Google Play,IN,1,It really sucks right now. My music keeps pausing on its own and I can't see what song is playing. Just too many issues with new updates Edit: works a lot better since this review however the same songs on my Playlist keeps playing all the time on shuffle. I tried clearing cache but the same thing keeps happening,21,4,25,"repetition,playlist,personalization","keeps playing,my music,playlist,same songs,shuffle"
3194,Google Play,IN,5,"Spotify is enjoyable music app with a wide variety of songs, podcasts and playing. It is easy to use and helps unders discover new artist, trending songs and personalised recommendations. You can save favourite songs and listen to music anytime.",23,0,23,"discovery,recommendation,artist","artist,discover,new artist,recommendations,variety"
3557,Google Play,IN,1,Shuffle doesnt work. it plays the same songs over and over in the same order too. even on premium. canceling my subscription,18,4,22,"repetition,playlist","over and over,same songs,shuffle"
5864,Apple App Store,AU,5,"I love that I can go from gospel and worship playlists in the morning, to lofi/ambient while I’m working, then random “unfitting” throwbacks at night without skipping a beat. Spotify just gets that my day isn’t one mood. The mixes + Discover Weekly keep feeding me new spiritual artists I’d never find otherwise, plus all my weird niche stuff too. It’s like having every version of me in one app.",20,0,20,"discovery,playlist,personalization,artist","artists,discover,discover weekly,mood,playlists"
5991,Apple App Store,AU,4,The shuffle can just give the same songs over and over again,18,1,19,"repetition,playlist","over and over,same songs,shuffle"
6225,Apple App Store,CA,4,Love the app but the shuffling feature needs to be fixed still. I feel like I always listen to the same artist in my playlists for several songs before it changes to a different artist. Just for it to do the same thing over and over again.,18,1,19,"repetition,playlist,artist","artist,over and over,playlists,same artist"
676,Google Play,IN,3,"The app won't let me go to the next song. keeps playing the same song on repeat, stays stuck on the loop button",17,2,19,repetition,"keeps playing,repeat,same song"
4564,Google Play,IN,2,"Buggy app, requires stronger internet signal than most video streaming sites despite only streaming audio, very poor interface in terms of finding new music, repeats songs back to you on song radio. Would avoid if I wasn't already so committed. edit: thank you for offering non-personalised options for playlists, step in the right direction",16,3,19,"discovery,repetition,playlist","new music,playlists,radio,repeats"
548,Google Play,IN,1,edit 2026 in a playlist of over 800 songs the player seems to get stuck in a loop of 50-60 songs it just repeats over and over... can you not sort this out?! .....song s played added to list until all song have been played. starting to hate listening to my playlists. 😮‍💨 and now they demanding a home address after year of use.....we have duo plan we have the same surname....if I'm have to enter an address I will be cancelling our plan and heading back to an MP3 player and physical media......,15,4,19,"repetition,playlist","over and over,playlist,playlists,repeats"
1837,Google Play,IN,1,too difficult to discover new music. it seems shuffle mode plays the same stuff in same order,15,4,19,"discovery,playlist","discover,new music,shuffle"
5182,Apple App Store,US,1,"Has a good variety of music. Issues are that they aren’t secure— recent trending songs such as Terranova get hacked. 

You can’t select what you want to listen to, you can’t skip ads (you get 2 each 1-2 songs), and want all your money.

Developers failed to pay artists so they started giving us unstoppable ads, limited selection of our music, forced shuffles, etc. Find better ways to pay artists and earn money. I couldn’t believe picking a rock song would bring me to K-POP that isn’t made by PSY. 

Not only they are using our money to poorly pay other artists, they are funding useless projects/updates having to do with the app, such as virtual DJs and AI. 

Wow… get better. I don’t recommend the app. Listen to music on the radio or save it as a MP3.",15,4,19,"discovery,recommendation,playlist,artist","artists,radio,recommend,variety"
1069,Google Play,IN,5,"The bestt app music ever Spotify. The absolute king of music streaming. The personalized playlists, like Discover Weekly, are spot-on, and the transition between devices is seamless. The massive library of music and podcasts keeps me entertained all day.",18,0,18,"discovery,recommendation,playlist","discover,discover weekly,personalized,playlists"
3822,Google Play,IN,5,"Spotify is one of the best music apps I’ve ever used. It is very easy to find songs, playlists, and podcasts based on my mood. The sound quality is great, and I really like the personalized recommendations. It makes listening to music much more enjoyable every day.",18,0,18,"discovery,recommendation,playlist,personalization","find songs,mood,personalized,playlists,recommendations"
3504,Google Play,IN,2,"playback constantly buffers mid-song, shuffle repeats the same songs, no option to save queue",15,3,18,"repetition,playlist","repeats,same songs,shuffle"
